نص الآية,اسم السورة انجليزي,اسم السورة عربي,رسم الآية,رقم الآية,رقم الجزء,رقم السورة,رقم الصفحة
آتوني زبر الحديد حتى إذا ساوى بين الصدفين قال انفخوا حتى إذا جعله نارا قال آتوني أفرغ عليه قطرا,Al-Kahf,الكَهف,ءَاتُونِي زُبَرَ ٱلۡحَدِيدِۖ حَتَّىٰٓ إِذَا سَاوَىٰ بَيۡنَ ٱلصَّدَفَيۡنِ قَالَ ٱنفُخُواْۖ حَتَّىٰٓ إِذَا جَعَلَهُۥ نَارٗا قَالَ ءَاتُونِيٓ أُفۡرِغۡ عَلَيۡهِ قِطۡرٗا ٩٦,96,16,18,303
فما اسطاعوا أن يظهروه وما استطاعوا له نقبا,Al-Kahf,الكَهف,فَمَا ٱسۡطَٰعُوٓاْ أَن يَظۡهَرُوهُ وَمَا ٱسۡتَطَٰعُواْ لَهُۥ نَقۡبٗا ٩٧ ,97,16,18,303
قال هذا رحمة من ربي فإذا جاء وعد ربي جعله دكاء وكان وعد ربي حقا,Al-Kahf,الكَهف,قَالَ هَٰذَا رَحۡمَةٞ مِّن رَّبِّيۖ فَإِذَا جَآءَ وَعۡدُ رَبِّي جَعَلَهُۥ دَكَّآءَۖ وَكَانَ وَعۡدُ رَبِّي حَقّٗا ٩٨,98,16,18,304
وتركنا بعضهم يومئذ يموج في بعض ونفخ في الصور فجمعناهم جمعا,Al-Kahf,الكَهف,۞ وَتَرَكۡنَا بَعۡضَهُمۡ يَوۡمَئِذٖ يَمُوجُ فِي بَعۡضٖۖ وَنُفِخَ فِي ٱلصُّورِ فَجَمَعۡنَٰهُمۡ جَمۡعٗا ٩٩,99,16,18,304
وعرضنا جهنم يومئذ للكافرين عرضا,Al-Kahf,الكَهف,وَعَرَضۡنَا جَهَنَّمَ يَوۡمَئِذٖ لِّلۡكَٰفِرِينَ عَرۡضًا ١٠٠,100,16,18,304
الذين كانت أعينهم في غطاء عن ذكري وكانوا لا يستطيعون سمعا,Al-Kahf,الكَهف,ٱلَّذِينَ كَانَتۡ أَعۡيُنُهُمۡ فِي غِطَآءٍ عَن ذِكۡرِي وَكَانُواْ لَا يَسۡتَطِيعُونَ سَمۡعًا ١٠١ ,101,16,18,304
أفحسب الذين كفروا أن يتخذوا عبادي من دوني أولياء إنا أعتدنا جهنم للكافرين نزلا,Al-Kahf,الكَهف,أَفَحَسِبَ ٱلَّذِينَ كَفَرُوٓاْ أَن يَتَّخِذُواْ عِبَادِي مِن دُونِيٓ أَوۡلِيَآءَۚ إِنَّآ أَعۡتَدۡنَا جَهَنَّمَ لِلۡكَٰفِرِينَ نُزُلٗا ١٠٢,102,16,18,304
قل هل ننبئكم بالأخسرين أعمالا,Al-Kahf,الكَهف,قُلۡ هَلۡ نُنَبِّئُكُم بِٱلۡأَخۡسَرِينَ أَعۡمَٰلًا ١٠٣ ,103,16,18,304
الذين ضل سعيهم في الحياة الدنيا وهم يحسبون أنهم يحسنون صنعا,Al-Kahf,الكَهف,ٱلَّذِينَ ضَلَّ سَعۡيُهُمۡ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَا وَهُمۡ يَحۡسَبُونَ أَنَّهُمۡ يُحۡسِنُونَ صُنۡعًا ١٠٤,104,16,18,304
أولئك الذين كفروا بآيات ربهم ولقائه فحبطت أعمالهم فلا نقيم لهم يوم القيامة وزنا,Al-Kahf,الكَهف,أُوْلَٰٓئِكَ ٱلَّذِينَ كَفَرُواْ بِـَٔايَٰتِ رَبِّهِمۡ وَلِقَآئِهِۦ فَحَبِطَتۡ أَعۡمَٰلُهُمۡ فَلَا نُقِيمُ لَهُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ وَزۡنٗا ١٠٥,105,16,18,304
ذلك جزاؤهم جهنم بما كفروا واتخذوا آياتي ورسلي هزوا,Al-Kahf,الكَهف,ذَٰلِكَ جَزَآؤُهُمۡ جَهَنَّمُ بِمَا كَفَرُواْ وَٱتَّخَذُوٓاْ ءَايَٰتِي وَرُسُلِي هُزُوًا ١٠٦,106,16,18,304
إن الذين آمنوا وعملوا الصالحات كانت لهم جنات الفردوس نزلا,Al-Kahf,الكَهف,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ كَانَتۡ لَهُمۡ جَنَّٰتُ ٱلۡفِرۡدَوۡسِ نُزُلًا ١٠٧,107,16,18,304
خالدين فيها لا يبغون عنها حولا,Al-Kahf,الكَهف,خَٰلِدِينَ فِيهَا لَا يَبۡغُونَ عَنۡهَا حِوَلٗا ١٠٨,108,16,18,304
قل لو كان البحر مدادا لكلمات ربي لنفد البحر قبل أن تنفد كلمات ربي ولو جئنا بمثله مددا,Al-Kahf,الكَهف,قُل لَّوۡ كَانَ ٱلۡبَحۡرُ مِدَادٗا لِّكَلِمَٰتِ رَبِّي لَنَفِدَ ٱلۡبَحۡرُ قَبۡلَ أَن تَنفَدَ كَلِمَٰتُ رَبِّي وَلَوۡ جِئۡنَا بِمِثۡلِهِۦ مَدَدٗا ١٠٩,109,16,18,304
قل إنما أنا بشر مثلكم يوحى إلي أنما إلهكم إله واحد فمن كان يرجو لقاء ربه فليعمل عملا صالحا ولا يشرك بعبادة ربه أحدا,Al-Kahf,الكَهف,قُلۡ إِنَّمَآ أَنَا۠ بَشَرٞ مِّثۡلُكُمۡ يُوحَىٰٓ إِلَيَّ أَنَّمَآ إِلَٰهُكُمۡ إِلَٰهٞ وَٰحِدٞۖ فَمَن كَانَ يَرۡجُواْ لِقَآءَ رَبِّهِۦ فَلۡيَعۡمَلۡ عَمَلٗا صَٰلِحٗا وَلَا يُشۡرِكۡ بِعِبَادَةِ رَبِّهِۦٓ أَحَدَۢا ١١٠,110,16,18,304
قل من كان في الضلالة فليمدد له الرحمن مدا حتى إذا رأوا ما يوعدون إما العذاب وإما الساعة فسيعلمون من هو شر مكانا وأضعف جندا,Maryam,مَريَم,قُلۡ مَن كَانَ فِي ٱلضَّلَٰلَةِ فَلۡيَمۡدُدۡ لَهُ ٱلرَّحۡمَٰنُ مَدًّاۚ حَتَّىٰٓ إِذَا رَأَوۡاْ مَا يُوعَدُونَ إِمَّا ٱلۡعَذَابَ وَإِمَّا ٱلسَّاعَةَ فَسَيَعۡلَمُونَ مَنۡ هُوَ شَرّٞ مَّكَانٗا وَأَضۡعَفُ جُندٗا ٧٥,75,16,19,310
أطلع الغيب أم اتخذ عند الرحمن عهدا,Maryam,مَريَم,أَطَّلَعَ ٱلۡغَيۡبَ أَمِ ٱتَّخَذَ عِندَ ٱلرَّحۡمَٰنِ عَهۡدٗا ٧٨,78,16,19,311
ووهبنا له من رحمتنا أخاه هارون نبيا,Maryam,مَريَم,وَوَهَبۡنَا لَهُۥ مِن رَّحۡمَتِنَآ أَخَاهُ هَٰرُونَ نَبِيّٗا ٥٣,53,16,19,309
واذكر في الكتاب إسماعيل إنه كان صادق الوعد وكان رسولا نبيا,Maryam,مَريَم,وَٱذۡكُرۡ فِي ٱلۡكِتَٰبِ إِسۡمَٰعِيلَۚ إِنَّهُۥ كَانَ صَادِقَ ٱلۡوَعۡدِ وَكَانَ رَسُولٗا نَّبِيّٗا ٥٤,54,16,19,309
واذكر في الكتاب موسى إنه كان مخلصا وكان رسولا نبيا,Maryam,مَريَم,وَٱذۡكُرۡ فِي ٱلۡكِتَٰبِ مُوسَىٰٓۚ إِنَّهُۥ كَانَ مُخۡلَصٗا وَكَانَ رَسُولٗا نَّبِيّٗا ٥١ ,51,16,19,308
قال كذلك قال ربك هو علي هين ولنجعله آية للناس ورحمة منا وكان أمرا مقضيا,Maryam,مَريَم,قَالَ كَذَٰلِكِ قَالَ رَبُّكِ هُوَ عَلَيَّ هَيِّنٞۖ وَلِنَجۡعَلَهُۥٓ ءَايَةٗ لِّلنَّاسِ وَرَحۡمَةٗ مِّنَّاۚ وَكَانَ أَمۡرٗا مَّقۡضِيّٗا ٢١,21,16,19,306
لا يملكون الشفاعة إلا من اتخذ عند الرحمن عهدا,Maryam,مَريَم,لَّا يَمۡلِكُونَ ٱلشَّفَٰعَةَ إِلَّا مَنِ ٱتَّخَذَ عِندَ ٱلرَّحۡمَٰنِ عَهۡدٗا ٨٧,87,16,19,311
فكلي واشربي وقري عينا فإما ترين من البشر أحدا فقولي إني نذرت للرحمن صوما فلن أكلم اليوم إنسيا,Maryam,مَريَم,فَكُلِي وَٱشۡرَبِي وَقَرِّي عَيۡنٗاۖ فَإِمَّا تَرَيِنَّ مِنَ ٱلۡبَشَرِ أَحَدٗا فَقُولِيٓ إِنِّي نَذَرۡتُ لِلرَّحۡمَٰنِ صَوۡمٗا فَلَنۡ أُكَلِّمَ ٱلۡيَوۡمَ إِنسِيّٗا ٢٦,26,16,19,307
فوربك لنحشرنهم والشياطين ثم لنحضرنهم حول جهنم جثيا,Maryam,مَريَم,فَوَرَبِّكَ لَنَحۡشُرَنَّهُمۡ وَٱلشَّيَٰطِينَ ثُمَّ لَنُحۡضِرَنَّهُمۡ حَوۡلَ جَهَنَّمَ جِثِيّٗا ٦٨,68,16,19,310
واذكر في الكتاب إبراهيم إنه كان صديقا نبيا,Maryam,مَريَم,وَٱذۡكُرۡ فِي ٱلۡكِتَٰبِ إِبۡرَٰهِيمَۚ إِنَّهُۥ كَانَ صِدِّيقٗا نَّبِيًّا ٤١,41,16,19,308
يوم نحشر المتقين إلى الرحمن وفدا,Maryam,مَريَم,يَوۡمَ نَحۡشُرُ ٱلۡمُتَّقِينَ إِلَى ٱلرَّحۡمَٰنِ وَفۡدٗا ٨٥,85,16,19,311
وإني خفت الموالي من ورائي وكانت امرأتي عاقرا فهب لي من لدنك وليا,Maryam,مَريَم,وَإِنِّي خِفۡتُ ٱلۡمَوَٰلِيَ مِن وَرَآءِي وَكَانَتِ ٱمۡرَأَتِي عَاقِرٗا فَهَبۡ لِي مِن لَّدُنكَ وَلِيّٗا ٥,5,16,19,305
يازكريا إنا نبشرك بغلام اسمه يحيى لم نجعل له من قبل سميا,Maryam,مَريَم,يَٰزَكَرِيَّآ إِنَّا نُبَشِّرُكَ بِغُلَٰمٍ ٱسۡمُهُۥ يَحۡيَىٰ لَمۡ نَجۡعَل لَّهُۥ مِن قَبۡلُ سَمِيّٗا ٧ ,7,16,19,305
قال رب اجعل لي آية قال آيتك ألا تكلم الناس ثلاث ليال سويا,Maryam,مَريَم,قَالَ رَبِّ ٱجۡعَل لِّيٓ ءَايَةٗۖ قَالَ ءَايَتُكَ أَلَّا تُكَلِّمَ ٱلنَّاسَ ثَلَٰثَ لَيَالٖ سَوِيّٗا ١٠,10,16,19,305
وبرا بوالدتي ولم يجعلني جبارا شقيا,Maryam,مَريَم,وَبَرَّۢا بِوَٰلِدَتِي وَلَمۡ يَجۡعَلۡنِي جَبَّارٗا شَقِيّٗا ٣٢,32,16,19,307
أن دعوا للرحمن ولدا,Maryam,مَريَم,أَن دَعَوۡاْ لِلرَّحۡمَٰنِ وَلَدٗا ٩١ ,91,16,19,311
ذلك عيسى ابن مريم قول الحق الذي فيه يمترون,Maryam,مَريَم,ذَٰلِكَ عِيسَى ٱبۡنُ مَرۡيَمَۖ قَوۡلَ ٱلۡحَقِّ ٱلَّذِي فِيهِ يَمۡتَرُونَ ٣٤,34,16,19,307
رب السموات والأرض وما بينهما فاعبده واصطبر لعبادته هل تعلم له سميا,Maryam,مَريَم,رَّبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا فَٱعۡبُدۡهُ وَٱصۡطَبِرۡ لِعِبَٰدَتِهِۦۚ هَلۡ تَعۡلَمُ لَهُۥ سَمِيّٗا ٦٥,65,16,19,310
ونسوق المجرمين إلى جهنم وردا,Maryam,مَريَم,وَنَسُوقُ ٱلۡمُجۡرِمِينَ إِلَىٰ جَهَنَّمَ وِرۡدٗا ٨٦,86,16,19,311
وكم أهلكنا قبلهم من قرن هل تحس منهم من أحد أو تسمع لهم ركزا,Maryam,مَريَم,وَكَمۡ أَهۡلَكۡنَا قَبۡلَهُم مِّن قَرۡنٍ هَلۡ تُحِسُّ مِنۡهُم مِّنۡ أَحَدٍ أَوۡ تَسۡمَعُ لَهُمۡ رِكۡزَۢا ٩٨,98,16,19,312
واتخذوا من دون الله آلهة ليكونوا لهم عزا,Maryam,مَريَم,وَٱتَّخَذُواْ مِن دُونِ ٱللَّهِ ءَالِهَةٗ لِّيَكُونُواْ لَهُمۡ عِزّٗا ٨١,81,16,19,311
تكاد السموات يتفطرن منه وتنشق الأرض وتخر الجبال هدا,Maryam,مَريَم,تَكَادُ ٱلسَّمَٰوَٰتُ يَتَفَطَّرۡنَ مِنۡهُ وَتَنشَقُّ ٱلۡأَرۡضُ وَتَخِرُّ ٱلۡجِبَالُ هَدًّا ٩٠,90,16,19,311
قال أراغب أنت عن آلهتي ياإبراهيم لئن لم تنته لأرجمنك واهجرني مليا,Maryam,مَريَم,قَالَ أَرَاغِبٌ أَنتَ عَنۡ ءَالِهَتِي يَٰٓإِبۡرَٰهِيمُۖ لَئِن لَّمۡ تَنتَهِ لَأَرۡجُمَنَّكَۖ وَٱهۡجُرۡنِي مَلِيّٗا ٤٦,46,16,19,308
ياأبت لا تعبد الشيطان إن الشيطان كان للرحمن عصيا,Maryam,مَريَم,يَٰٓأَبَتِ لَا تَعۡبُدِ ٱلشَّيۡطَٰنَۖ إِنَّ ٱلشَّيۡطَٰنَ كَانَ لِلرَّحۡمَٰنِ عَصِيّٗا ٤٤,44,16,19,308
قال كذلك قال ربك هو علي هين وقد خلقتك من قبل ولم تك شيئا,Maryam,مَريَم,قَالَ كَذَٰلِكَ قَالَ رَبُّكَ هُوَ عَلَيَّ هَيِّنٞ وَقَدۡ خَلَقۡتُكَ مِن قَبۡلُ وَلَمۡ تَكُ شَيۡـٔٗا ٩,9,16,19,305
وإن منكم إلا واردها كان على ربك حتما مقضيا,Maryam,مَريَم,وَإِن مِّنكُمۡ إِلَّا وَارِدُهَاۚ كَانَ عَلَىٰ رَبِّكَ حَتۡمٗا مَّقۡضِيّٗا ٧١,71,16,19,310
وسلام عليه يوم ولد ويوم يموت ويوم يبعث حيا,Maryam,مَريَم,وَسَلَٰمٌ عَلَيۡهِ يَوۡمَ وُلِدَ وَيَوۡمَ يَمُوتُ وَيَوۡمَ يُبۡعَثُ حَيّٗا ١٥,15,16,19,306
أفرأيت الذي كفر بآياتنا وقال لأوتين مالا وولدا,Maryam,مَريَم,أَفَرَءَيۡتَ ٱلَّذِي كَفَرَ بِـَٔايَٰتِنَا وَقَالَ لَأُوتَيَنَّ مَالٗا وَوَلَدًا ٧٧ ,77,16,19,311
واذكر في الكتاب إدريس إنه كان صديقا نبيا,Maryam,مَريَم,وَٱذۡكُرۡ فِي ٱلۡكِتَٰبِ إِدۡرِيسَۚ إِنَّهُۥ كَانَ صِدِّيقٗا نَّبِيّٗا ٥٦,56,16,19,309
فأشارت إليه قالوا كيف نكلم من كان في المهد صبيا,Maryam,مَريَم,فَأَشَارَتۡ إِلَيۡهِۖ قَالُواْ كَيۡفَ نُكَلِّمُ مَن كَانَ فِي ٱلۡمَهۡدِ صَبِيّٗا ٢٩,29,16,19,307
ياأبت إني قد جاءني من العلم ما لم يأتك فاتبعني أهدك صراطا سويا,Maryam,مَريَم,يَٰٓأَبَتِ إِنِّي قَدۡ جَآءَنِي مِنَ ٱلۡعِلۡمِ مَا لَمۡ يَأۡتِكَ فَٱتَّبِعۡنِيٓ أَهۡدِكَ صِرَٰطٗا سَوِيّٗا ٤٣,43,16,19,308
وهزي إليك بجذع النخلة تساقط عليك رطبا جنيا,Maryam,مَريَم,وَهُزِّيٓ إِلَيۡكِ بِجِذۡعِ ٱلنَّخۡلَةِ تُسَٰقِطۡ عَلَيۡكِ رُطَبٗا جَنِيّٗا ٢٥ ,25,16,19,306
فإنما يسرناه بلسانك لتبشر به المتقين وتنذر به قوما لدا,Maryam,مَريَم,فَإِنَّمَا يَسَّرۡنَٰهُ بِلِسَانِكَ لِتُبَشِّرَ بِهِ ٱلۡمُتَّقِينَ وَتُنذِرَ بِهِۦ قَوۡمٗا لُّدّٗا ٩٧,97,16,19,312
قال رب إني وهن العظم مني واشتعل الرأس شيبا ولم أكن بدعائك رب شقيا,Maryam,مَريَم,قَالَ رَبِّ إِنِّي وَهَنَ ٱلۡعَظۡمُ مِنِّي وَٱشۡتَعَلَ ٱلرَّأۡسُ شَيۡبٗا وَلَمۡ أَكُنۢ بِدُعَآئِكَ رَبِّ شَقِيّٗا ٤ ,4,16,19,305
فاتخذت من دونهم حجابا فأرسلنا إليها روحنا فتمثل لها بشرا سويا,Maryam,مَريَم,فَٱتَّخَذَتۡ مِن دُونِهِمۡ حِجَابٗا فَأَرۡسَلۡنَآ إِلَيۡهَا رُوحَنَا فَتَمَثَّلَ لَهَا بَشَرٗا سَوِيّٗا ١٧,17,16,19,306
أولئك الذين أنعم الله عليهم من النبيين من ذرية آدم وممن حملنا مع نوح ومن ذرية إبراهيم وإسرائيل وممن هدينا واجتبينا إذا تتلى عليهم آيات الرحمن خروا سجدا وبكيا,Maryam,مَريَم,أُوْلَٰٓئِكَ ٱلَّذِينَ أَنۡعَمَ ٱللَّهُ عَلَيۡهِم مِّنَ ٱلنَّبِيِّـۧنَ مِن ذُرِّيَّةِ ءَادَمَ وَمِمَّنۡ حَمَلۡنَا مَعَ نُوحٖ وَمِن ذُرِّيَّةِ إِبۡرَٰهِيمَ وَإِسۡرَٰٓءِيلَ وَمِمَّنۡ هَدَيۡنَا وَٱجۡتَبَيۡنَآۚ إِذَا تُتۡلَىٰ عَلَيۡهِمۡ ءَايَٰتُ ٱلرَّحۡمَٰنِ خَرُّواْۤ سُجَّدٗاۤ وَبُكِيّٗا۩ ٥٨,58,16,19,309
فأتت به قومها تحمله قالوا يامريم لقد جئت شيئا فريا,Maryam,مَريَم,فَأَتَتۡ بِهِۦ قَوۡمَهَا تَحۡمِلُهُۥۖ قَالُواْ يَٰمَرۡيَمُ لَقَدۡ جِئۡتِ شَيۡـٔٗا فَرِيّٗا ٢٧ ,27,16,19,307
إنا نحن نرث الأرض ومن عليها وإلينا يرجعون,Maryam,مَريَم,إِنَّا نَحۡنُ نَرِثُ ٱلۡأَرۡضَ وَمَنۡ عَلَيۡهَا وَإِلَيۡنَا يُرۡجَعُونَ ٤٠ ,40,16,19,308
فلا تعجل عليهم إنما نعد لهم عدا,Maryam,مَريَم,فَلَا تَعۡجَلۡ عَلَيۡهِمۡۖ إِنَّمَا نَعُدُّ لَهُمۡ عَدّٗا ٨٤ ,84,16,19,311
قال إني عبد الله آتاني الكتاب وجعلني نبيا,Maryam,مَريَم,قَالَ إِنِّي عَبۡدُ ٱللَّهِ ءَاتَىٰنِيَ ٱلۡكِتَٰبَ وَجَعَلَنِي نَبِيّٗا ٣٠,30,16,19,307
وكم أهلكنا قبلهم من قرن هم أحسن أثاثا ورئيا,Maryam,مَريَم,وَكَمۡ أَهۡلَكۡنَا قَبۡلَهُم مِّن قَرۡنٍ هُمۡ أَحۡسَنُ أَثَٰثٗا وَرِءۡيٗا ٧٤ ,74,16,19,310
فناداها من تحتها ألا تحزني قد جعل ربك تحتك سريا,Maryam,مَريَم,فَنَادَىٰهَا مِن تَحۡتِهَآ أَلَّا تَحۡزَنِي قَدۡ جَعَلَ رَبُّكِ تَحۡتَكِ سَرِيّٗا ٢٤ ,24,16,19,306
ويقول الإنسان أئذا ما مت لسوف أخرج حيا,Maryam,مَريَم,وَيَقُولُ ٱلۡإِنسَٰنُ أَءِذَا مَا مِتُّ لَسَوۡفَ أُخۡرَجُ حَيًّا ٦٦,66,16,19,310
قالت إني أعوذ بالرحمن منك إن كنت تقيا,Maryam,مَريَم,قَالَتۡ إِنِّيٓ أَعُوذُ بِٱلرَّحۡمَٰنِ مِنكَ إِن كُنتَ تَقِيّٗا ١٨,18,16,19,306
فلما اعتزلهم وما يعبدون من دون الله وهبنا له إسحاق ويعقوب وكلا جعلنا نبيا,Maryam,مَريَم,فَلَمَّا ٱعۡتَزَلَهُمۡ وَمَا يَعۡبُدُونَ مِن دُونِ ٱللَّهِ وَهَبۡنَا لَهُۥٓ إِسۡحَٰقَ وَيَعۡقُوبَۖ وَكُلّٗا جَعَلۡنَا نَبِيّٗا ٤٩ ,49,16,19,308
إن كل من في السموات والأرض إلا آتي الرحمن عبدا,Maryam,مَريَم,إِن كُلُّ مَن فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ إِلَّآ ءَاتِي ٱلرَّحۡمَٰنِ عَبۡدٗا ٩٣,93,16,19,311
وبرا بوالديه ولم يكن جبارا عصيا,Maryam,مَريَم,وَبَرَّۢا بِوَٰلِدَيۡهِ وَلَمۡ يَكُن جَبَّارًا عَصِيّٗا ١٤,14,16,19,306
وجعلني مباركا أين ما كنت وأوصاني بالصلاة والزكاة ما دمت حيا,Maryam,مَريَم,وَجَعَلَنِي مُبَارَكًا أَيۡنَ مَا كُنتُ وَأَوۡصَٰنِي بِٱلصَّلَوٰةِ وَٱلزَّكَوٰةِ مَا دُمۡتُ حَيّٗا ٣١,31,16,19,307
ونرثه ما يقول ويأتينا فردا,Maryam,مَريَم,وَنَرِثُهُۥ مَا يَقُولُ وَيَأۡتِينَا فَرۡدٗا ٨٠,80,16,19,311
قال إنما أنا رسول ربك لأهب لك غلاما زكيا,Maryam,مَريَم,قَالَ إِنَّمَآ أَنَا۠ رَسُولُ رَبِّكِ لِأَهَبَ لَكِ غُلَٰمٗا زَكِيّٗا ١٩,19,16,19,306
وإذا تتلى عليهم آياتنا بينات قال الذين كفروا للذين آمنوا أي الفريقين خير مقاما وأحسن نديا,Maryam,مَريَم,وَإِذَا تُتۡلَىٰ عَلَيۡهِمۡ ءَايَٰتُنَا بَيِّنَٰتٖ قَالَ ٱلَّذِينَ كَفَرُواْ لِلَّذِينَ ءَامَنُوٓاْ أَيُّ ٱلۡفَرِيقَيۡنِ خَيۡرٞ مَّقَامٗا وَأَحۡسَنُ نَدِيّٗا ٧٣ ,73,16,19,310
جنات عدن التي وعد الرحمن عباده بالغيب إنه كان وعده مأتيا,Maryam,مَريَم,جَنَّٰتِ عَدۡنٍ ٱلَّتِي وَعَدَ ٱلرَّحۡمَٰنُ عِبَادَهُۥ بِٱلۡغَيۡبِۚ إِنَّهُۥ كَانَ وَعۡدُهُۥ مَأۡتِيّٗا ٦١,61,16,19,309
تلك الجنة التي نورث من عبادنا من كان تقيا,Maryam,مَريَم,تِلۡكَ ٱلۡجَنَّةُ ٱلَّتِي نُورِثُ مِنۡ عِبَادِنَا مَن كَانَ تَقِيّٗا ٦٣,63,16,19,309
أسمع بهم وأبصر يوم يأتوننا لكن الظالمون اليوم في ضلال مبين,Maryam,مَريَم,أَسۡمِعۡ بِهِمۡ وَأَبۡصِرۡ يَوۡمَ يَأۡتُونَنَا لَٰكِنِ ٱلظَّٰلِمُونَ ٱلۡيَوۡمَ فِي ضَلَٰلٖ مُّبِينٖ ٣٨ ,38,16,19,307
فأجاءها المخاض إلى جذع النخلة قالت ياليتني مت قبل هذا وكنت نسيا منسيا,Maryam,مَريَم,فَأَجَآءَهَا ٱلۡمَخَاضُ إِلَىٰ جِذۡعِ ٱلنَّخۡلَةِ قَالَتۡ يَٰلَيۡتَنِي مِتُّ قَبۡلَ هَٰذَا وَكُنتُ نَسۡيٗا مَّنسِيّٗا ٢٣ ,23,16,19,306
إذ قال لأبيه ياأبت لم تعبد ما لا يسمع ولا يبصر ولا يغني عنك شيئا,Maryam,مَريَم,إِذۡ قَالَ لِأَبِيهِ يَٰٓأَبَتِ لِمَ تَعۡبُدُ مَا لَا يَسۡمَعُ وَلَا يُبۡصِرُ وَلَا يُغۡنِي عَنكَ شَيۡـٔٗا ٤٢ ,42,16,19,308
قال سلام عليك سأستغفر لك ربي إنه كان بي حفيا,Maryam,مَريَم,قَالَ سَلَٰمٌ عَلَيۡكَۖ سَأَسۡتَغۡفِرُ لَكَ رَبِّيٓۖ إِنَّهُۥ كَانَ بِي حَفِيّٗا ٤٧ ,47,16,19,308
لقد أحصاهم وعدهم عدا,Maryam,مَريَم,لَّقَدۡ أَحۡصَىٰهُمۡ وَعَدَّهُمۡ عَدّٗا ٩٤,94,16,19,311
والسلام علي يوم ولدت ويوم أموت ويوم أبعث حيا,Maryam,مَريَم,وَٱلسَّلَٰمُ عَلَيَّ يَوۡمَ وُلِدتُّ وَيَوۡمَ أَمُوتُ وَيَوۡمَ أُبۡعَثُ حَيّٗا ٣٣,33,16,19,307
لقد جئتم شيئا إدا,Maryam,مَريَم,لَّقَدۡ جِئۡتُمۡ شَيۡـًٔا إِدّٗا ٨٩,89,16,19,311
وما نتنزل إلا بأمر ربك له ما بين أيدينا وما خلفنا وما بين ذلك وما كان ربك نسيا,Maryam,مَريَم,وَمَا نَتَنَزَّلُ إِلَّا بِأَمۡرِ رَبِّكَۖ لَهُۥ مَا بَيۡنَ أَيۡدِينَا وَمَا خَلۡفَنَا وَمَا بَيۡنَ ذَٰلِكَۚ وَمَا كَانَ رَبُّكَ نَسِيّٗا ٦٤ ,64,16,19,309
قال رب أنى يكون لي غلام وكانت امرأتي عاقرا وقد بلغت من الكبر عتيا,Maryam,مَريَم,قَالَ رَبِّ أَنَّىٰ يَكُونُ لِي غُلَٰمٞ وَكَانَتِ ٱمۡرَأَتِي عَاقِرٗا وَقَدۡ بَلَغۡتُ مِنَ ٱلۡكِبَرِ عِتِيّٗا ٨,8,16,19,305
ثم لنحن أعلم بالذين هم أولى بها صليا,Maryam,مَريَم,ثُمَّ لَنَحۡنُ أَعۡلَمُ بِٱلَّذِينَ هُمۡ أَوۡلَىٰ بِهَا صِلِيّٗا ٧٠,70,16,19,310
وناديناه من جانب الطور الأيمن وقربناه نجيا,Maryam,مَريَم,وَنَٰدَيۡنَٰهُ مِن جَانِبِ ٱلطُّورِ ٱلۡأَيۡمَنِ وَقَرَّبۡنَٰهُ نَجِيّٗا ٥٢,52,16,19,309
كلا سنكتب ما يقول ونمد له من العذاب مدا,Maryam,مَريَم,كـَلَّاۚ سَنَكۡتُبُ مَا يَقُولُ وَنَمُدُّ لَهُۥ مِنَ ٱلۡعَذَابِ مَدّٗا ٧٩,79,16,19,311
وأنذرهم يوم الحسرة إذ قضي الأمر وهم في غفلة وهم لا يؤمنون,Maryam,مَريَم,وَأَنذِرۡهُمۡ يَوۡمَ ٱلۡحَسۡرَةِ إِذۡ قُضِيَ ٱلۡأَمۡرُ وَهُمۡ فِي غَفۡلَةٖ وَهُمۡ لَا يُؤۡمِنُونَ ٣٩,39,16,19,308
ثم ننجي الذين اتقوا ونذر الظالمين فيها جثيا,Maryam,مَريَم,ثُمَّ نُنَجِّي ٱلَّذِينَ ٱتَّقَواْ وَّنَذَرُ ٱلظَّٰلِمِينَ فِيهَا جِثِيّٗا ٧٢,72,16,19,310
ياأخت هارون ما كان أبوك امرأ سوء وما كانت أمك بغيا,Maryam,مَريَم,يَٰٓأُخۡتَ هَٰرُونَ مَا كَانَ أَبُوكِ ٱمۡرَأَ سَوۡءٖ وَمَا كَانَتۡ أُمُّكِ بَغِيّٗا ٢٨,28,16,19,307
أو لا يذكر الإنسان أنا خلقناه من قبل ولم يك شيئا,Maryam,مَريَم,أَوَلَا يَذۡكُرُ ٱلۡإِنسَٰنُ أَنَّا خَلَقۡنَٰهُ مِن قَبۡلُ وَلَمۡ يَكُ شَيۡـٔٗا ٦٧,67,16,19,310
