id,sura,aya,translation,footnotes
1960,16,59,"He hides away from people because of the bad news he was given. Should he keep her in disgrace, or bury her in the dust? How terrible is their judgment!",
1961,16,60,"Those who do not believe in the Hereafter have evil attributes[34], and Allah has the highest attributes[35], for He is the All-Mighty, the All-Wise.","[34] As described in the previous two verses such as the need for children, ignorance, and disbelief.
 [35] Attributes of grandeur, perfection, and knowledge, and is free from all imperfections and need."
1962,16,61,"If Allah were to take people to task for their wrongdoing, He would not leave a single living being on earth, but He gives them respite for an appointed time. When their time comes, they cannot delay it for a moment nor can they bring it forward.",
1963,16,62,"They attribute to Allah[36] what they dislike for themselves, and their tongues make false claim that they will have the best [reward][37]. Without a doubt for them there will be the Fire, and they will be neglected.",[36] That the angels are Allah’s daughters. [37] Both in this life and in the Hereafter.
1964,16,63,"By Allah, We sent [messengers] to nations before you, but Satan made their deeds[38] appealing to them. He is their ally today, and for them there will be a painful punishment.","[38] Such as disbelief, polytheism, rejecting the Messenger, and evil deeds."
1965,16,64,We have only sent down to you the Book so that you may make clear to them what they differed about[39] and as a guidance and mercy for people who believe.,"[39] i.e., worshiping Allah alone, resurrection, and the rules of law."
1966,16,65,"Allah sends down rain from the sky and revives thereby the earth after its death. Indeed, there is a sign in this for people who listen[40].","[40] i.e., those who listen and reflect on such evidence of Allah’s ability over the resurrection."
1967,16,66,And there is surely a lesson for you in livestock. We give you drink from what is in their bellies – produced between excretion and blood – pure and pleasant milk for those who drink[41].,"[41] This pure, palatable and enjoyable milk, comes from between the smelly excretion and colored blood."
1968,16,67,"And from the fruits of palm trees and grapevines, you make intoxicants[42] and good provision[43]. Indeed, there is a sign in this for people of understanding.",[42] This is a Makkan surah that was revealed prior to the prohibition of intoxicants. [43] It alludes that there are both evil and good aspects to certain things.
1969,16,68,"Your Lord inspired the bees, “Make homes in the mountains, the trees, and in the trellises that people put up,",
1970,16,69,"Then feed on every kind of fruit and follow the ways that your Lord made easy for you.” There comes out from their bellies a drink[44] of various colors, in which there is healing for people. Indeed, there is a sign in this for people who reflect.","[44] i.e., honey."
1971,16,70,"Allah has created you, then He causes you to die. Among you are some who are left to reach the most decrepit age[45], so that they may know nothing after having known much. Indeed, Allah is All-Knowing, Most Capable.","[45] i.e., old age when both the physical and mental powers of a human diminish."
1972,16,71,"Allah has favored some of you over others in provision. Those who are favored will not share their provision with their slaves, so that they may become equal to them[46]. Do they then deny the favors of Allah?","[46] If they would not accept to equally share their provision with their slaves, how would then they set up associates with Allah in worship?"
1973,16,72,"Allah has made for you spouses of your own kind[47], and has given you through your spouses children and grandchildren, and has given you provision from good things. Do they still believe in falsehood and deny the favors of Allah?","[47] i.e., humans in general, or the original creation of Eve out of Adam."
1974,16,73,"They worship besides Allah those who have nothing to provide for them from the heavens and earth[48], nor are they capable of doing so.","[48] i.e., rain from the sky or plants from the earth."
1975,16,74,"So do not make comparisons to Allah[49]. Indeed, Allah knows and you do not know[50].","[49] As there is none comparable to Him. [50] Due to not realizing Allah’s Greatness and out of their ignorance, they draw comparisons between Him and their idols."
1976,16,75,"Allah makes a comparison of a bonded slave who has no power over anything and a [free] person whom We granted good provision from Us, and he spends from it secretly and openly. Are they equal? All praise be to Allah. But most of them do not know[51].","[51] No sane person would equate the two, then how do they equate the Creator of the Possessor of the whole universe and the inanimate idols in worship?!"
1977,16,76,"And Allah makes a comparison of two men, one of them is dumb and unable to do anything, and he is a burden to his master; wherever he directs him, he brings no good[52]. Is he equal to the one who enjoins justice and follows a straight path?","[52] This is the description of their idols who are mute, deaf, mindless, and not able to do anything."
1978,16,77,"To Allah belongs the unseen [aspects] of the heavens and earth; and the coming of the Hour is no more than the blink of an eye or even quicker, for Allah is Most Capable of all things.",
1979,16,78,"Allah brought you out from your mothers’ wombs not knowing anything, and He gave you hearing, sight and intellect, so that you may be grateful[53].","[53] Men should use these faculties of hearing, sight, and intellect to ponder over their creation and know their Lord, be grateful to Him, and worship Him alone."
1980,16,79,"Do they not see the birds enabled to fly in the open air? None holds them up except Allah. Indeed, there are signs in this for people who believe.",
1981,16,80,"Allah has made your houses a place of rest for you, and He has given you tents made from the hides of livestock which you find light to handle when you travel and when you camp. And out of their wool, fur and hair [He has given you] furnishings and enjoyment for a while.",
1982,16,81,"Allah has made for you shade out of what He has created and has made for you shelter in the mountains. He has also made for you garments protecting you from heat [and cold], and garments [of armor] protecting you in battle. This is how He perfects His favors upon you, so that you may submit to Him.",
1983,16,82,"But if they turn away, your duty is only to convey the message clearly.",
1984,16,83,"They know Allah’s favors, yet they deny them, and most of them are ungrateful.",
1985,16,84,"On the Day when We raise up a witness[54] from every community, no excuse will be accepted from the disbelievers, nor will they be allowed to make amends.","[54] i.e., their Messenger to bear witness as to how his nation answered his call."
1986,16,85,"When the wrongdoers face the punishment, it will not be lightened for them, nor will they be given any respite.",
1987,16,86,"When those who associated partners with Allah see their [so-called] partners, they will say, “Our Lord, these are our partners whom we used to worship besides You.” But they will counter them with the statement, “You are indeed liars.”",
1988,16,87,"On that Day they will offer submission to Allah[55], and all what they used to fabricate will vanish from them.",[55] They then realize that they deserve the punishment.
1989,16,88,"Those who disbelieve and prevent others from the way of Allah, We will add punishment to their punishment for the corruption they used to spread.",
1990,16,89,"On the Day when We raise up against every community a witness from among themselves, We will bring you [O Prophet] as a witness against these [people]. We have sent down to you the Book as an explanation of everything, and as a guidance, mercy, and glad tidings for the Muslims.",
1991,16,90,"Allah enjoins justice, kindness, and giving relatives[56] [their dues], and He forbids shameful acts, evil deeds and oppression. He exhorts you, so that you may take heed.","[56] Degree of kinship: Parents, then offspring, then brothers and sisters, then paternal uncles and aunts, then maternal uncles and aunts, and then other relatives."
1992,16,91,"Fulfill the covenant of Allah when you pledge, and do not break oaths after confirming them, having made Allah your witness, for Allah knows all what you do.",
1993,16,92,"Do not be like the woman who unravels her yarn after spinning it firmly, by taking your oaths as a means of deceit between yourselves so that one party might gain an advantage over the other[57]. Allah only puts you to the test thereby[58], and on the Day of Resurrection, He will surely make clear to you all that over which you used to differ.","[57] i.e., Do not swear falsely or break a treaty merely for worldly gain.
 [58] As to who will honor their binding pledge and who will break it for another alluring pact with a stronger party."
1994,16,93,"If Allah had willed, He would have made all of you a single community [of believers], but He causes to stray whom He wills and guides whom He wills[59], and you will surely be questioned about what you used to do.",[59] According to His infinite knowledge of each soul’s preference.
1995,16,94,"Do not take your oaths as a means of deceit between yourselves, lest some feet will slip after they have been firm[60], and you will taste the evil consequences of preventing people from the way of Allah, and for you there will be a great punishment.","[60] i.e., after their feet became firm in Islam."
1996,16,95,"Do not trade the covenant of Allah for a small price. Indeed, what is with Allah is best for you, if only you knew.",
1997,16,96,"Whatever you have will come to an end, but whatever Allah has will last forever. And We will surely grant those who remain steadfast their reward according to the best of their deeds.",
1998,16,97,"Whoever does righteous deeds, male or female, while being a believer, We will surely grant him a good life[61], and We will surely reward them according to the best of their deeds[62].","[61] By the sweetness of faith, comfort in the heart, and satisfaction with the provision given by Allah.
 [62] In the Hereafter."
1999,16,98,"When you recite the Qur’an, seek refuge with Allah from the accursed Satan.",
2000,16,99,"Indeed, he has no power over those who believe[63] and put their trust in their Lord.",[63] Satan has no authority over them except whisperings.
2001,16,100,"He only has power over those who take him as their patron[64], and who - under his influence - associate partners with Allah.",[64] Who follow him and obey his commands.
2002,16,101,"When We replace one verse with another[65] – and Allah knows best what He sends down – they say, “You are just making it up.” In fact, most of them have no knowledge.",[65] By abrogating (naskh) of a ruling altogether with a new one or maintaining its wording in the Qur’an.
2003,16,102,"Say, “This has been brought down by the Holy Spirit[66] from your Lord with the truth, to strengthen those who believe, and as guidance and glad tidings to the Muslims.”","[66] i.e., the Gabriel (Jibrīl), who is purified from any treachery and defect."
2004,16,103,"We surely know that they say, “It is only a human being who teaches him[67].” But the language they refer to is foreign, whereas this is eloquent Arabic language.",[67] The pagans of Makkah falsely claimed that a non-Arab teaches Prophet Muhammad (ﷺ).
2005,16,104,"Those who do not believe in the verses of Allah, Allah will not guide them, and for them there will be a painful punishment.",
2006,16,105,No one fabricates lies except those who do not believe in the verses of Allah; it is they who are the liars.,
2007,16,106,"Whoever disbelieves in Allah after having believed – except one who is compelled while his heart is firm in faith – but those who embrace disbelief willingly, upon them will be the wrath of Allah, and for them there will be a great punishment.",
2008,16,107,"That is because they prefer the life of this world to the Hereafter, and Allah does not guide the disbelieving people.",
2009,16,108,"These are the ones whose hearts, hearing and sight are sealed up by Allah[68]; it is they who are the heedless.",[68] Because they did not use their faculties of perception to seek guidance.
2010,16,109,No doubt that it is they who will be the greatest losers in the Hereafter.,
2011,16,110,"As for those who emigrated after being persecuted, then strove [for the cause of Allah], and were patient[69] – indeed, your Lord is after that All-Forgiving, Most Merciful.","[69] Those emigrants who were forced to utter the word of disbelief, to save their lives, but then emigrated to Madinah and fought against the disbelievers while being steadfast in faith."
2012,16,111,"On the Day when each soul will come pleading for itself, and each soul will be paid in full for what it did, and none will be wronged.",
2013,16,112,"Allah presents an example of a town[70] that was safe and secure, receiving its provision in abundance from all directions. Yet its people showed ingratitude to Allah’s favors, so Allah made them taste overwhelming hunger and fear for what they used to do.","[70] i.e., Makkah."
2014,16,113,"There came to them a messenger[71] from among themselves, but they rejected him, so the punishment seized them[72] while they were wrongdoers.","[71] i.e., the Prophet (ﷺ).
 [72] By adversity and fear."
2015,16,114,"So eat from the lawful and good things that Allah has provided for you, and be grateful for Allah’s blessings, if it is Him that you worship.",
2016,16,115,"He has only forbidden to you carrion, blood[73], flesh of swine, and what is slaughtered to other than Allah. But if one is compelled by necessity – neither driven by desire nor exceeding the need – then Allah is All-Forgiving, Most Merciful.","[73] i.e., the flowing blood, not what remains in blood vessels after slaughter."
2017,16,116,"Do not falsely say what your tongues declare, “This is lawful and this is unlawful,” thus fabricating lies against Allah. Those who fabricate lies against Allah will never succeed.",
2018,16,117,"It is only a brief enjoyment, then for them there will be a painful punishment.",
2019,16,118,"We have already related to you what We prohibited to the Jews[74]. We did not wrong them, but it was they who wronged themselves.",[74] See 6:146.
2020,16,119,"As for those who commit evil out of ignorance then repent after that and mend their ways, then your Lord is indeed All-Forgiving, Most Merciful.",
2021,16,120,"Abraham was a model of excellence[75], devoted to Allah and inclined to true faith, and he was not one of those who associate partners with Allah.","[75] Having all the excellent qualities which make one a role model for others, or he was a ‘nation’ on his own because he was the only believer on earth."
2022,16,121,He was grateful for His favors; He chose him and guided him to a straight path.,
2023,16,122,"We gave him good in this world, and in the Hereafter, he will surely be among the righteous[76].",[76] Sālihīn (righteous) are the prophets and the messengers.
2024,16,123,"Then We revealed to you [O Prophet] to follow the religion of Abraham, inclining to true faith[77], and he was not one of those who associate partners with Allah.","[77] i.e., Islamic Monotheism."
2025,16,124,The Sabbath was only ordained for those who differed about it[78]. Your Lord will surely judge between them on the Day of Resurrection concerning that over which they used to differ.,"[78] To dedicate Sabbath for worshiping Allah away from their daily livelihood, after they deviated from Friday which was enjoined upon them beforehand."
2026,16,125,"Call to the way of your Lord with wisdom[79] and goodly exhortation[80], and reason with them in the best manner[81]. Your Lord knows best who has strayed from His way and knows best those who are rightly guided.","[79] Accordingly, taking into account the circumstance of the addressee.
 [80] That endears good to people. [81] Being kind, well-spoken, and tolerant to win hearts."
2027,16,126,"If you retaliate, let your retaliation be the like of what you suffered. But if you bear with patience, it is surely best for those who are steadfast.",
2028,16,127,"And be patient, for your patience comes only from Allah; do not grieve over them[82], nor be distressed by their evil plots.",[82] The Prophet (ﷺ) was grieved that they would not believe.
2029,16,128,"Indeed, Allah is with those who fear Him and those who do good.",
2030,17,1,"Glory be to the One Who took His slave [Muhammad] by night from the Sacred Mosque [in Makkah] to the Aqsā Mosque [in Jerusalem] whose surroundings We have blessed, so that We may show him some of Our signs. Indeed, He is the All-Hearing, the All-Seeing.",
2031,17,2,"We gave Moses the Scripture and made it a guide for the Children of Israel, “Do not take besides Me anyone as a Disposer of Affairs[1].","[1] i.e., rely upon none except Allah, for He alone is the Disposer of Affairs of the whole universe."
2032,17,3,O descendants of those whom We carried [on board] with Noah[2]. He was indeed a grateful slave.”,[2] The Children of Israel are given the reference of Prophet Noah (عليه السلام); to follow him for being dutiful and thankful to Allah.
2033,17,4,"We declared to the Children of Israel in the Scripture, “You will surely spread corruption on earth twice, and you will surely become exceedingly arrogant[3].",[3] Allah foretold them out of infinite knowledge about future events.
2034,17,5,"When the first of the two warnings came to pass, We sent against you some of Our slaves of great might, and they ravaged through the land[4]; this warning was bound to be fulfilled[5].","[4] killing them and plundering.
 [5] i.e., the punishment they were promised for their first transgressions."
2035,17,6,"Then We gave you the upper hand over them and strengthened you with wealth and children, and made you greater in number.",
2036,17,7,"If you do good, it is for your own good, but if you do evil, it is to your own loss. Then when the second warning came to pass, your enemies would disgrace and suppress you[6], and enter the Temple [of Jerusalem][7] as they entered it the first time, and utterly destroy whatever fell into their power[8].","[6] By killing, taking hostage, submission and humiliation.
 [7] Bayt al-Maqdis.
 [8] It would be a total wreckage."
2037,17,8,"Your Lord may bestow mercy upon you, but if you return [to sin], We will return [to punishment][9]. And We have made Hell a prison for the disbelievers.”","[9] After this great affliction, Allah would give them back their lost sovereignty, but if they revert back to their old rebellious ways then the way of Allah is never changing."
2038,17,9,"Indeed, this Qur’an guides to what is most upright and gives glad tidings to the believers who do righteous deeds that they will have a great reward.",
2039,17,10,"And that those who do not believe in the Hereafter, We have prepared for them a painful punishment.",
2040,17,11,"Man prays for evil as he prays for good, for man is ever hasty[10].","[10] i.e., becomes impatient and acts without forethought."
2041,17,12,"We have made the day and night as two signs. We darkened the night and made the day bright, so that you may seek your Lord’s bounty and know the number of years and calculation [of time]. And We have expounded everything in detail.",
2042,17,13,"We have bound every man’s deeds to his neck[11]. On the Day of Resurrection, We will bring forth for him a record which he will find spread open.","[11] i.e., after showing guidance for him, he is responsible for his own destiny."
2043,17,14,"[It will be said,] “Read your record; this Day you are sufficient to take account of yourself[12].”",[12] Everyone will be dealt with justly.
2044,17,15,"Whoever accepts guidance, it is only for his own good; and whoever goes astray, it is only for his own loss. No bearer of burden will bear the burden of another, nor do We punish until We have sent a messenger[13].",[13] The disbelievers will have no excuse whatsoever.
2045,17,16,"Whenever We decide to destroy a town, We command its affluent ones [to obey Allah] but they defiantly disobey, so the punishment becomes inevitable, and We destroy it completely.",
2046,17,17,How many generations We have destroyed since the time of Noah[14]! Your Lord is sufficient as All-Aware and All-Seeing of the sins of His slaves[15].,"[14] Warning them of the consequences of the previously destroyed nations.
 [15] The address here shifts to Muhammad (ﷺ) to assure him that Allah will bring them to account."
2047,17,18,"Whoever desires this fleeting life[16], We hasten therein whatever We will to whoever We please. Then We prepare for him Hell, which he will enter, despised and rejected.","[16] i.e., worldly pleasures."
2048,17,19,"But whoever desires the Hereafter and strives for it as he should, being a believer – it is those whose efforts will be appreciated[17].","[17] Allah will accept their good deeds, multiply their reward, and overlook their sins."
2049,17,20,"We give both – the latter and the former – from the bounty of your Lord, and Your Lord’s bounty is not restricted[18].",[18] Allah gives provision for all in the life of this world without exception.
2050,17,21,"See how We have favored some over others [in this world], but the Hereafter has higher ranks and greater degrees of excellence for some over others[19].","[19] In beauty, wealth, power, knowledge, etc; as a test for them, to see how they react."
2051,17,22,"Do not set up with Allah any other god, or else you will be despised and forsaken[20].","[20] Having none to thank them for it, nor support them in the least."
2052,17,23,"Your Lord has ordained that you worship none but Him, and show kindness to parents. If one or both of them reach old age in your care, do not say to them a word of annoyance[21] nor scold them, rather speak to them noble words,",[21] ’uff: an expression of irritation and disapproval.
2053,17,24,"and lower to them the wing of humility[22] out of mercy, and say, “My Lord, have mercy upon them as they raised me when I was small[23].”","[22] It is a metaphor; i.e., shows the parents the utmost humbleness like a bird lowering its wing as it hugs its young or so.
 [23] For they are at their weakest phase of life, similar to what he was in his early childhood."
2054,17,25,"Your Lord knows best what is in your hearts. If you are righteous, He is All-Forgiving to those who constantly turn to Him.",
2055,17,26,"Give relatives their due, and the needy and the stranded travelers, and do not spend wastefully.",
2056,17,27,"Indeed, the wasteful are Satans’ brothers[24], and Satan is ever ungrateful to his Lord[25].","[24] Islam is a religion of moderation and good consideration; neither wastefully nor stingily, but moderate.
 [25] Disbelievers are the most ungrateful ones as they rebel against Allah's commands instead of showing obedience to Him, for they follow the way of the devil towards Allah."
2057,17,28,"But if you must turn away from [those in need] while hoping to receive bounty from your Lord[26], then say to them words of comfort.","[26] i.e., if you have nothing to give them now."
2058,17,29,"Do not be too tight-fisted[27], nor too open-handed[28], for you will end up blameworthy and destitute.","[27] i.e., stingy. [28] i.e., extravagant."
2059,17,30,Your Lord extends provision to whom He wills or restricts it[29]. He is All-Aware and All-Seeing of His slaves.,[29] He gives or withholds wealth according to what is best for the person concerned and what they would do with it if he is provided with it.
2060,17,31,"Do not kill your children for fear of poverty[30], for We provide for them and for you. Indeed, killing them is a great sin.","[30] Abdullāh ibn Mas‘ūd (رضي الله عنه) reported: “I said: “O Messenger of Allah, what is the greatest sin?” He said: “That you set up rivals with Allah, when He is the One Who created you!” Then I said: “What is next?” He said: “That you kill your child because he eats with you!” [Al-Bukhāri: 6811]."
2061,17,32,"Do not go near adultery[31], for it is indeed a shameful act and an evil way.","[31] i.e., avoid all things that might lead to it."
2062,17,33,"Do not kill any soul that Allah has forbidden, except in the course of justice. If anyone is killed wrongfully, We have given his heir authority [of compensation], but he should not exceed the bounds in killing, for he is already supported [by law].",
2063,17,34,"Do not approach the property of an orphan except with good [intent][32], until he reaches maturity; and fulfill the covenant, for you will certainly be questioned about the covenant.","[32] i.e., to improve, increase, or preserve it."
2064,17,35,"Give full measure when you measure, and weigh with accurate scales; that is fair and best in the end[33].","[33] Fair dealing is best, for it brings blessing, psychological calm, and reward in the Hereafter."
2065,17,36,"Do not follow[34] that of which you have no knowledge. Indeed, the hearing, the sight, and the heart, all of them will be called to account.","[34] i.e., do not say or assume."
2066,17,37,"Do not walk on the earth arrogantly; you cannot cleave the earth, nor can you reach the mountains in height[35].","[35] Man is indeed a weak and small creature, then why arrogance?!"
2067,17,38,The evil of all these actions is hateful to your Lord.,
2068,17,39,"This is part of the wisdom that your Lord has revealed to you [O Prophet]. Do not set up any other god with Allah, or you will be thrown into Hell, blameworthy and rejected[36].","[36] i.e., self-reproached and blamed by others for this miserable end, as well as shut away from all good."
2069,17,40,Has your Lord favored you with sons and has taken for Himself angels as daughters[37]? You are indeed making a monstrous claim.,"[37] Their feeble argument is debunked and refuted concerning the issue of purity of Faith and Monotheism. Although preferring male over female is a heathen way; yet, how would Allah, the Omnipotent Creator, accept for Himself what they do not accept for themselves? (cf. 37:149-155). They worshiped the angels based on the claim that they were Allah’s daughters. (cf. 43:19-20)."
2070,17,41,"We have explained things in various ways in this Qur’an, so that they may take heed, but it only increases them in aversion[38].","[38] “We send down the Qur’an as a healing and mercy for the believers, but it does not increase the wrongdoers except in loss.” See below 17:82."
2071,17,42,"Say, “If there were other gods besides Him – as they claim – they would have surely sought a way to the Lord of the Throne[39].”",[39] To please Him or take over His Throne.
2072,17,43,Glorified and Highly Exalted is He far above what they claim!,
2073,17,44,"The seven heavens and the earth, and all those in them glorify Him. There is not a single thing that does not glorify Him with His praise, but you do not understand their glorification. Indeed, He is Most Forbearing, All-Forgiving.",
2074,17,45,"When you recite the Qur’an, We place between you and those who do not believe in the Hereafter an invisible barrier[40].","[40] Preventing guidance from them, for their aversion."
2075,17,46,"We have placed covers on their hearts so that they do not understand it, and deafness in their ears[41]. When you mention your Lord alone in the Qur’an, they turn their backs in aversion.",[41] This is in return for their hatred toward the truth and the ingrained disease of doubt in their hearts.
2076,17,47,"We are well aware of what they wish to hear when they listen to you, and what they say when they converse in private, when the wrongdoers say, “You are not following but a bewitched man.”",
2077,17,48,See how they call you names[42]! Thus they have gone astray and cannot find a way.,"[42] i.e., a poet, a madman, bewitched, etc."
2078,17,49,"They say, “What! When we are turned into bones and dust, will we really be resurrected as a new creation?”",
2079,17,50,"Say, “Be you stones or iron[43],","[43] i.e., even if you could be stones or iron in hardness or in power."
2080,17,51,"or any other substance you think is harder[44] to bring back to life.” They will then say, “Who will bring us back [to life]?” Say, “The One Who created you the first time.” They will shake their heads[45] at you and say, “When will that be?” Say, “Perhaps it is soon.”","[44] Such as the heavens and the earth.
 [45] In ridicule and disbelief."
2081,17,52,"On the Day when He calls you, you will respond by praising Him, thinking that you had not stayed [on earth] except for a little while.",
2082,17,53,"Tell My slaves that they should say what is best[46], for Satan sows discord among them. Indeed, Satan is a sworn enemy to mankind.","[46] i.e., they should be considerate and kind, well-spoken, and tolerant to win hearts."
2083,17,54,"Your Lord knows you best: if He wills, He will have mercy on you; or if He wills, He will punish you. We have not sent you [O Prophet] to be in charge of them[47].",[47] The mission of the Prophet (ﷺ) was only delivering the Message; their guidance and holding to account is up to Allah Almighty.
2084,17,55,"Your Lord knows best all those in the heavens and on earth[48]. We have surely favored some prophets over others, and We gave David the Psalms[49].","[48] Allah knows all and what they deserve.
 [49] Al-Zabūr is revealed to Prophet David (عليه السلام); al-zabūr (pl. zubūr) originally is every book that contains wisdom. See 3:184."
2085,17,56,"Say, “Call upon those whom you claimed [to be gods] besides Him; they have no power to remove harm or avert it from you.”",
2086,17,57,"Those whom they call upon seek means of nearness to their Lord, each trying to become closer, hoping for His Mercy and fearing His punishment[50]. Indeed, the punishment of your Lord is fearsome.","[50] Such as angels, prophets, righteous believers, etc."
2087,17,58,There is no [disbelieving] town except that We will destroy it before the Day of Resurrection or punish it severely[51]. This is written in the Record[52].,"[51] Due to the disbelief and sins of its inhabitants. [52] i.e., the Preserved Tablet."
2088,17,59,"Nothing prevents Us from sending signs except that the earlier people denied them[53]. We gave Thamūd the she-camel as a clear sign, but they wrongfully rejected her[54]. We do not send signs except as a warning.","[53] So that the pagans of Makkah do do not face the consequences of the earlier nations.
 [54] i.e., they committed an injustice by hamstringing the she-camel."
2089,17,60,"And [remember, O Prophet] when We told you, “Your Lord encompasses all people [with His knowledge and might][55].” We did not make the sight which We showed you[56] except as a test for people, as well as the cursed tree [mentioned] in the Qur’an. We keep threatening them, yet it only increases them to greater transgression.","[55] i.e., Allah will protect you (ﷺ) from their harm.
 [56] During the journey of mi‘rāj (ascension) to the heavens."
2090,17,61,"And [remember] when We said to the angels, “Prostrate to Adam;” they all prostrated except Iblīs, who said, “Should I prostrate to whom You created from clay?”",
2091,17,62,"He added, “Do You see this one whom You have honored above me? If you give me respite until the Day of Resurrection, I will surely overpower his offspring, except for a few[57].”","[57] i.e., tempt and lead them astray."
2092,17,63,"Allah said, “Be gone[58]! Whoever among them follows you, Hell will be an ample recompense for you all.",[58] This and the next commands were actually a threat.
2093,17,64,"Entice with your voice whoever of them you can; mobilize against them your cavalry and infantry; manipulate them in their wealth[59] and children[60], and make promises to them.” But Satan does not promise them except delusion[61].","[59] i.e., earning and spending them sinfully.
 [60] i.e., having and raising them sinfully and giving them polytheistic names.
 [61] i.e., deception and fraudulence."
2094,17,65,“You will have no authority over My slaves.” And sufficient is your Lord as a Guardian.,
2095,17,66,"It is your Lord Who makes the ships sail for you through the sea, so that you may seek of His bounty. Indeed, He is ever Merciful to you.",
2096,17,67,"When hardship strikes you at sea, you forget all those whom you invoke besides Him[62]. Then when He brings you safe to the land, you turn away. Mankind is ever ungrateful.","[62] Upon the conquest of Makkah, ‘Ikrimah ibn Abī Jahl along with his companions fled to the sea. He pledged in the sea that if he was saved from the storm that hit their boat, he would embrace Islam, so he fulfilled his pledge and announced his Islam."
2097,17,68,"Do you feel secure that He will not make some part of the land swallow you up, or send against you a storm of stones? Thereupon you will find none to protect you.",
2098,17,69,"Or do you feel secure that He will not send you back [to sea] once again, and send upon you a violent storm to drown you on account of your disbelief? Thereupon you will find none to help you against Us[63].",[63] To demand restitution.
2099,17,70,"We have honored the children of Adam, carried them on land and sea, provided for them good things[64] and favored them above many of those whom We have created.","[64] By bestowing them with intellectual abilities and making angels prostrate to their father, Adam. Furthermore, Allah subjected other creatures to them, as they mount with dignity their means of transportation both on land and in the sea. Allah also provided them with good food, drinks, and spouses, etc."
2100,17,71,On the Day when We will summon every community with its leader[65]. Those who are given their record in their right hand will read their record [happily]; they will not be wronged even as much as the thread of a date stone.,[65] Or what they followed in their worldly life.
2101,17,72,But whoever was blind [from the truth][66] in this life will be even blinder in the Hereafter and further astray from the right way.,"[66] i.e., refused to see the truth."
2102,17,73,They were about to tempt you away from what We have revealed to you [O Prophet] so that you would fabricate something else and attribute it to Us; then they would have surely taken you as a close friend.,
2103,17,74,"Had We not made you stand firm, you would nearly have inclined to them a little.",
2104,17,75,"In that case, We would have made you taste double punishment, both in this life and after death. Thereupon you would have found no helper against Us.",
2105,17,76,"They were about to provoke you so as to drive you out of the land [of Makkah], but then they would not have remained after you, except for a little while[67].",[67] Makkah was completely cleared of the Prophet's enemies only ten years after his emigration.
2106,17,77,"Such was Our way with the messengers We sent before you, and you will find no change in Our way.",
2107,17,78,"Establish prayer at the decline of the sun until the darkness of the night, and the recitation of dawn [prayer][68], for the recitation of dawn is ever witnessed [by the angels][69].","[68] i.e., the zuhr, asr, maghrib, and ‘ishā’ prayers.
 [69] i.e., the fajr prayer, in which the recitation of the Qur’an is prolonged, for it is witnessed by angels. This verse alluded to all five obligatory daily prayers."
2108,17,79,"And wake up during the night and pray, as an additional prayer for you [O Prophet], so your Lord may raise you to a praised status[70].",[70] Al-Maqām al-Mahmūd (the position of the Grand Intercession) is granted to the Prophet Muhammad (ﷺ).
2109,17,80,"And say, “My Lord, make me enter an honorable entrance[71] and make me exit an honorable exit[72], and grant me from Yourself a supporting authority.”","[71] Into Madinah while emigration, all entrances, or into the grave.
 [72] From Makkah, all exits, or at the resurrection."
2110,17,81,"And say, “The truth has come and falsehood has perished. Indeed, falsehood is bound to perish[73].”","[73] Abdullāh Ibn Mas‘ūd (رضي الله عنه) narrated that: “The Prophet (ﷺ) entered Makkah on the day of its conquest, and there were around 360 idols around the Ka‘bah. He went on thrusting them with a stick in his hand making them tumble down and saying: “The Truth has come and falsehood has perished...” [al-Bukhārī: 87; Muslim: 1781]"
2111,17,82,"We send down the Qur’an as a healing and mercy[74] for the believers, but it does not increase the wrongdoers except in loss.","[74] Abū Saʿīd al-Khudrī (رضي الله عنه) reported that: “Some of the Companions of the Messenger of Allah (ﷺ) set out on a journey and they passed by an Arabian tribe. The chief of that tribe was bitten by a snake. They went to them and sought their help. A person amongst us said: “I shall treat him with ruqyah (incantation). But I shall not treat him unless you reward us. We asked you for your hospitality and you refused!” They agreed to give us a herd of goats. So he went to him and recited Surat al-Fātihah and blew over him. The chief was invigorated and went on walking with no sign of ailment. They gave them the agreed reward. Some of the Companions said: “Let us divide it!” Others said: “Do not, until you reach the Messenger of Allah (ﷺ), tell him what has happened and see what he bids us do”. They went to the Messenger of Allah (ﷺ) and told him. He said: “How did you come to know that it can be used as ruqyah? You have done the right thing. Divide it and allocate a share for me” [al-Bukhārī: 5749; Muslim: 2201]. ‘Ā’ishah (رضي الله عنه) narrated that: “When ill, the Messenger of Allah (ﷺ) used to recite al-Mu‘awwidhāt (the Sheltering surahs, al-Falaq and al-Nās) and blow. When his sickness got worse, I used to recite them over him and rub his body with his own hand seeking its blessing” [Al-Bukhārī: 5016; Muslim: 2192]."
2112,17,83,"When We bestow favor upon man, he turns away and distances himself, but when evil befalls him, he is in utter despair.",
2113,17,84,"Say, “Everyone acts in his own way[75], but your Lord knows best whose way is best guided.”","[75] Say to them O Prophet, continue in your way of disbelief, with which you are satisfied; I will continue with my path of guidance."
2114,17,85,"They ask you [O Prophet] about the spirit[76]. Say, “The soul is only known to my Lord, and you have not been given knowledge except a little.”","[76] i.e., the spirit that sustains life in the body or the Archangel Gabriel."
2115,17,86,"If We willed, We could surely take away what We have revealed to you, then you would find no guardian to plead its return from Us;",
